longitudeTop,latitudeTop,elevationTop,longitudeBase,latitudeBase,elevationBase
253.82628,31.500649,565.586879,253.82628,31.500649,0
253.8295,31.502994,572.353439,253.8295,31.502994,0
253.83272,31.50534,579.119999,253.83272,31.50534,0
253.83595,31.507692,584.210159,253.83595,31.507692,0
253.8393,31.510133,590.976719,253.8393,31.510133,0
253.84252,31.512478,597.743279,253.84252,31.512478,0
253.84575,31.514831,604.509839,253.84575,31.514831,0
253.84897,31.517176,611.306879,253.84897,31.517176,0
253.85219,31.519521,618.073439,253.85219,31.519521,0
253.85541,31.521867,623.133119,253.85541,31.521867,0
253.85863,31.524212,629.930159,253.85863,31.524212,0
253.86186,31.526565,636.696719,253.86186,31.526565,0
253.86508,31.52891,643.463279,253.86508,31.52891,0
253.8683,31.531256,650.229839,253.8683,31.531256,0
253.87139,31.533506,657.026879,253.87139,31.533506,0
253.87461,31.535852,662.086559,253.87461,31.535852,0
253.87783,31.538197,668.853119,253.87783,31.538197,0
253.88105,31.540543,675.650159,253.88105,31.540543,0
253.88428,31.542895,682.416719,253.88428,31.542895,0
253.89032,31.547295,699.333119,253.89032,31.547295,0
253.89193,31.548467,694.273439,253.89193,31.548467,0
253.89423,31.550143,867.186479,253.89423,31.550143,0
253.89436,31.550237,861.913439,253.89436,31.550237,0
253.89758,31.552583,870.386879,253.89758,31.552583,0
253.9008,31.554928,877.153439,253.9008,31.554928,0
253.90403,31.557281,885.626879,253.90403,31.557281,0
253.90725,31.559626,892.393439,253.90725,31.559626,0
253.91047,31.561972,899.159999,253.91047,31.561972,0
253.91369,31.564317,907.633439,253.91369,31.564317,0
253.91691,31.566663,914.399999,253.91691,31.566663,0
253.92014,31.569015,919.490159,253.92014,31.569015,0
253.92336,31.571361,924.549839,253.92336,31.571361,0
253.92671,31.573801,921.166559,253.92671,31.573801,0
253.92967,31.575957,909.309839,253.92967,31.575957,0
253.93235,31.577909,885.626879,253.93235,31.577909,0
253.93516,31.579956,806.013119,253.93516,31.579956,0
253.93825,31.582206,821.253119,253.93825,31.582206,0
253.94134,31.584457,838.199999,253.94134,31.584457,0
253.94456,31.586802,855.390719,253.94456,31.586802,0
253.94752,31.588958,870.386879,253.94752,31.588958,0
253.97585,31.609594,1010.930158,253.97585,31.609594,0
253.97894,31.611844,1026.688318,253.97894,31.611844,0
253.98189,31.613993,1048.176718,253.98189,31.613993,0
253.98485,31.616149,1066.799998,253.98485,31.616149,0
253.9878,31.618298,1087.130158,253.9878,31.618298,0
253.99076,31.620454,1107.429838,253.99076,31.620454,0
253.99385,31.622705,1126.053118,253.99385,31.622705,0
253.60682,31.759537,6.7056,253.60682,31.759537,0
253.60948,31.756619,20.2692,253.60948,31.756619,0
253.61224,31.75359,35.5092,253.61224,31.75359,0
253.61525,31.750287,52.45608,253.61525,31.750287,0
253.6179,31.74738,65.9892,253.6179,31.74738,0
253.62067,31.74434,81.2292,253.62067,31.74434,0
253.62332,31.741433,94.7928,253.62332,31.741433,0
253.62528,31.739282,104.94264,253.62528,31.739282,0
253.62794,31.736363,120.18264,253.62794,31.736363,0
253.63059,31.733456,135.42264,253.63059,31.733456,0
253.63336,31.730416,148.98624,253.63336,31.730416,0
253.63602,31.727497,164.22624,253.63602,31.727497,0
253.63867,31.72459,179.46624,253.63867,31.72459,0
253.64132,31.721682,192.99936,253.64132,31.721682,0
253.6434,31.7194,204.85608,253.6434,31.7194,0
253.64606,31.716481,218.41968,253.64606,31.716481,0
253.64882,31.713453,233.65968,253.64882,31.713453,0
253.65148,31.710534,248.89968,253.65148,31.710534,0
253.65413,31.707626,262.46328,253.65413,31.707626,0
253.6569,31.704587,277.70328,253.6569,31.704587,0
253.65956,31.701668,292.94328,253.65956,31.701668,0
253.66221,31.69876,306.4764,253.66221,31.69876,0
253.66498,31.695721,321.7164,253.66498,31.695721,0
253.66763,31.692813,335.279999,253.66763,31.692813,0
253.67029,31.689895,350.519999,253.67029,31.689895,0
253.67514,31.684573,377.616719,253.67514,31.684573,0
253.67745,31.682038,421.690799,253.67745,31.682038,0
253.68021,31.67901,431.840639,253.68021,31.67901,0
253.68298,31.67597,443.697359,253.68298,31.67597,0
253.68575,31.672931,453.847199,253.68575,31.672931,0
253.68852,31.669892,463.997039,253.68852,31.669892,0
253.69118,31.666973,475.853759,253.69118,31.666973,0
253.69395,31.663934,486.003599,253.69395,31.663934,0
253.69671,31.660905,496.183919,253.69671,31.660905,0
253.69948,31.657866,508.010159,253.69948,31.657866,0
253.70225,31.654826,518.190479,253.70225,31.654826,0
253.70502,31.651787,528.340319,253.70502,31.651787,0
253.70779,31.648748,540.197039,253.70779,31.648748,0
253.71044,31.64584,550.346879,253.71044,31.64584,0
253.71321,31.6428,560.496719,253.71321,31.6428,0
253.71598,31.639761,572.353439,253.71598,31.639761,0
253.71875,31.636722,582.503279,253.71875,31.636722,0
253.72152,31.633682,592.653119,253.72152,31.633682,0
253.72429,31.630643,602.833439,253.72429,31.630643,0
253.72694,31.627735,614.659679,253.72694,31.627735,0
253.72983,31.624564,624.839999,253.72983,31.624564,0
253.73248,31.621656,634.989839,253.73248,31.621656,0
253.73525,31.618617,645.139679,253.73525,31.618617,0
253.73802,31.615578,656.996399,253.73802,31.615578,0
253.74079,31.612538,665.439359,253.74079,31.612538,0
253.74344,31.60963,675.619679,253.74344,31.60963,0
253.7461,31.606712,684.062639,253.7461,31.606712,0
253.74886,31.603683,692.536079,253.74886,31.603683,0
253.75152,31.600765,699.302639,253.75152,31.600765,0
253.75429,31.597725,707.745599,253.75429,31.597725,0
253.75694,31.594817,714.512159,253.75694,31.594817,0
253.75971,31.591778,721.278719,253.75971,31.591778,0
253.76248,31.588739,728.045279,253.76248,31.588739,0
253.76605,31.584821,736.488239,253.76605,31.584821,0
253.77551,31.574441,722.863679,253.77551,31.574441,0
253.786,31.562931,712.622399,253.786,31.562931,0
253.80526,31.541798,675.192959,253.80526,31.541798,0
253.82256,31.522816,641.177279,253.82256,31.522816,0
253.83824,31.505611,610.544879,253.83824,31.505611,0
253.84689,31.496119,593.537039,253.84689,31.496119,0
253.85231,31.490172,585.002639,253.85231,31.490172,0
253.50075,31.675558,1307.317678,253.50075,31.675558,0
253.50228,31.675864,1299.240478,253.50228,31.675864,0
253.50382,31.676171,1291.132798,253.50382,31.676171,0
253.50544,31.676494,1285.615918,253.50544,31.676494,0
253.50716,31.676838,1282.720318,253.50716,31.676838,0
253.50882,31.677169,1282.049758,253.50882,31.677169,0
253.51013,31.67743,1293.174958,253.51013,31.67743,0
253.51143,31.67769,1303.477198,253.51143,31.67769,0
253.51245,31.677894,1289.730718,253.51245,31.677894,0
253.51346,31.678095,1275.953758,253.51346,31.678095,0
253.51449,31.678301,1262.298718,253.51449,31.678301,0
253.51554,31.67851,1248.765598,253.51554,31.67851,0
253.51659,31.67872,1235.262958,253.51659,31.67872,0
253.51725,31.678852,1219.626718,253.51725,31.678852,0
253.51789,31.678979,1203.899038,253.51789,31.678979,0
253.51853,31.679107,1188.171358,253.51853,31.679107,0
253.51918,31.679237,1172.413198,253.51918,31.679237,0
253.51931,31.679263,1155.679678,253.51931,31.679263,0
253.51937,31.679275,1138.763278,253.51937,31.679275,0
253.51942,31.679285,1121.877358,253.51942,31.679285,0
253.51948,31.679297,1104.960958,253.51948,31.679297,0
253.51954,31.679309,1088.075038,253.51954,31.679309,0
253.5196,31.679321,1071.158638,253.5196,31.679321,0
253.51965,31.679331,1054.242238,253.51965,31.679331,0
253.51971,31.679343,1037.356318,253.51971,31.679343,0
253.51977,31.679355,1020.439918,253.51977,31.679355,0
253.51983,31.679367,1003.553998,253.51983,31.679367,0
253.51988,31.679377,986.637599,253.51988,31.679377,0
253.51994,31.679389,969.751679,253.51994,31.679389,0
253.52,31.6794,952.835279,253.52,31.6794,0
253.52005,31.67941,935.918879,253.52005,31.67941,0
253.52011,31.679422,919.032959,253.52011,31.679422,0
253.52017,31.679434,902.116559,253.52017,31.679434,0
253.52023,31.679446,885.230639,253.52023,31.679446,0
253.52028,31.679456,868.314239,253.52028,31.679456,0
253.52034,31.679468,851.397839,253.52034,31.679468,0
253.5204,31.67948,834.511919,253.5204,31.67948,0
253.52045,31.67949,817.595519,253.52045,31.67949,0
253.52051,31.679502,800.709599,253.52051,31.679502,0
253.52057,31.679514,783.793199,253.52057,31.679514,0
253.52063,31.679526,766.907279,253.52063,31.679526,0
253.52068,31.679536,749.990879,253.52068,31.679536,0
253.52074,31.679548,733.074479,253.52074,31.679548,0
253.5208,31.67956,716.188559,253.5208,31.67956,0
253.52086,31.679572,699.272159,253.52086,31.679572,0
253.52091,31.679582,682.386239,253.52091,31.679582,0
253.52097,31.679594,665.469839,253.52097,31.679594,0
253.52103,31.679606,648.553439,253.52103,31.679606,0
253.52108,31.679616,631.667519,253.52108,31.679616,0
253.52114,31.679628,614.751119,253.52114,31.679628,0
253.5212,31.67964,597.865199,253.5212,31.67964,0
253.52126,31.679652,580.948799,253.52126,31.679652,0
253.52131,31.679662,564.062879,253.52131,31.679662,0
253.52137,31.679674,547.146479,253.52137,31.679674,0
253.52143,31.679686,530.230079,253.52143,31.679686,0
253.52148,31.679696,513.344159,253.52148,31.679696,0
253.52154,31.679708,496.427759,253.52154,31.679708,0
253.52235,31.67987,486.796079,253.52235,31.67987,0
253.5241,31.680219,486.186479,253.5241,31.680219,0
253.52584,31.680566,485.576879,253.52584,31.680566,0
253.52758,31.680913,484.967279,253.52758,31.680913,0
253.52884,31.681165,479.572319,253.52884,31.681165,0
253.52892,31.681181,462.686399,253.52892,31.681181,0
253.52899,31.681195,445.769999,253.52899,31.681195,0
253.52907,31.681211,428.884079,253.52907,31.681211,0
253.52915,31.681227,411.998159,253.52915,31.681227,0
253.52922,31.681241,395.081759,253.52922,31.681241,0
253.5293,31.681257,378.195839,253.5293,31.681257,0
253.52938,31.681273,361.309919,253.52938,31.681273,0
253.52945,31.681287,344.393519,253.52945,31.681287,0
253.52953,31.681303,327.5076,253.52953,31.681303,0
253.52961,31.681319,310.62168,253.52961,31.681319,0
253.52968,31.681333,293.70528,253.52968,31.681333,0
253.52976,31.681349,276.81936,253.52976,31.681349,0
253.52984,31.681365,259.93344,253.52984,31.681365,0
253.52992,31.68138,243.01704,253.52992,31.68138,0
253.52999,31.681394,226.13112,253.52999,31.681394,0
253.53007,31.68141,209.2452,253.53007,31.68141,0
253.53015,31.681426,192.3288,253.53015,31.681426,0
253.53022,31.68144,175.44288,253.53022,31.68144,0
253.5303,31.681456,158.55696,253.5303,31.681456,0
253.53038,31.681472,141.64056,253.53038,31.681472,0
253.53045,31.681486,124.75464,253.53045,31.681486,0
253.53053,31.681502,107.86872,253.53053,31.681502,0
253.53061,31.681518,90.95232,253.53061,31.681518,0
253.53068,31.681532,74.0664,253.53068,31.681532,0
253.53076,31.681548,57.18048,253.53076,31.681548,0
253.53084,31.681564,40.26408,253.53084,31.681564,0
253.53092,31.68158,23.37816,253.53092,31.68158,0
253.53099,31.681594,6.46176,253.53099,31.681594,0
253.41513,31.500261,996.147358,253.41513,31.500261,0
253.4165,31.501218,996.817918,253.4165,31.501218,0
253.41787,31.502174,997.518958,253.41787,31.502174,0
253.41925,31.503138,997.854238,253.41925,31.503138,0
253.42062,31.504094,997.854238,253.42062,31.504094,0
253.42199,31.50505,997.854238,253.42199,31.50505,0
253.42337,31.506014,998.555278,253.42337,31.506014,0
253.42474,31.50697,999.225838,253.42474,31.50697,0
253.42611,31.507927,999.561118,253.42611,31.507927,0
